ensembl_gene_id	P6.1	P6.2	P6.3	P10.1	P10.2	P10.3	P15.1	P15.2	P15.3	P21.1	P21.2	P21.3	P50.1	P50.2	P50.3
ENSMUSG00000000001	333	378	508	773	895	825	839	811	913	181	238	196	273	283	303
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	33	28	54	90	88	86	38	55	44	16	10	14	24	24	22
ENSMUSG00000000031	113	172	125	4	15	15	1	10	6	2	1	2	1	0	1
ENSMUSG00000000037	30	31	36	24	22	16	9	10	7	11	4	3	14	6	12
ENSMUSG00000000049	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0
ENSMUSG00000000056	470	511	608	459	614	510	472	545	521	388	314	368	386	401	401
ENSMUSG00000000058	123	97	181	484	611	544	969	864	794	178	282	158	378	406	450
ENSMUSG00000000078	228	244	359	740	971	825	1593	1368	1402	350	419	364	416	562	601
ENSMUSG00000000085	296	311	364	258	323	308	249	277	279	256	222	251	260	248	247
ENSMUSG00000000088	206	183	255	334	353	376	288	320	344	100	123	64	120	112	124
ENSMUSG00000000093	468	489	485	140	187	150	114	168	113	194	142	134	207	219	198
ENSMUSG00000000094	6	1	8	35	51	48	59	68	60	3	9	3	1	0	1
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	60	81	90	16	31	47	41	50	48	53	31	35	77	57	57
ENSMUSG00000000125	4	15	14	0	2	4	1	0	0	0	0	0	0	1	1
ENSMUSG00000000126	8	4	2	9	7	2	4	6	5	5	6	5	4	7	5
ENSMUSG00000000127	146	147	184	221	269	257	264	277	250	134	144	125	196	220	198
ENSMUSG00000000131	650	611	794	648	624	616	600	584	573	514	422	425	697	790	720
ENSMUSG00000000134	236	185	267	287	302	263	291	313	299	115	134	86	205	216	198
ENSMUSG00000000142	157	155	167	211	200	187	273	267	289	184	208	161	249	253	287
ENSMUSG00000000148	209	197	273	144	197	182	195	221	214	116	109	104	168	152	175
ENSMUSG00000000149	545	545	690	769	978	875	1025	967	978	208	299	232	370	447	431
ENSMUSG00000000154	2	2	2	0	1	3	12	3	4	2	4	1	2	6	5
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	3	1	7	36	38	38	68	69	68	2	9	6	11	6	5
ENSMUSG00000000167	45	51	43	33	30	42	11	14	12	34	30	35	56	46	35
ENSMUSG00000000168	270	245	345	328	349	337	320	448	459	267	257	209	267	248	277
ENSMUSG00000000171	241	226	335	479	509	418	374	429	432	92	112	86	141	189	164
ENSMUSG00000000182	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	138	94	170	300	346	364	778	710	692	61	155	92	150	179	188
ENSMUSG00000000194	422	450	544	544	549	548	573	692	619	442	346	391	400	422	409
ENSMUSG00000000197	165	155	157	242	214	276	302	507	381	373	295	290	329	296	311
ENSMUSG00000000202	99	156	156	13	13	15	5	15	7	4	3	2	5	3	0
ENSMUSG00000000204	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
