ensembl_gene_id	gene_name	gene_biotype	total_width	cluster
ENSMUSG00000000001	Gnai3	protein_coding	3262	5
ENSMUSG00000000003	Pbsn	protein_coding	1599	NA
ENSMUSG00000000028	Cdc45	protein_coding	4722	4
ENSMUSG00000000031	H19	lincRNA	6343	1
ENSMUSG00000000037	Scml2	protein_coding	23080	1
ENSMUSG00000000049	Apoh	protein_coding	2662	NA
ENSMUSG00000000056	Narf	protein_coding	5355	3
ENSMUSG00000000058	Cav2	protein_coding	4401	6
ENSMUSG00000000078	Klf6	protein_coding	4217	6
ENSMUSG00000000085	Scmh1	protein_coding	21568	1
ENSMUSG00000000088	Cox5a	protein_coding	690	4
ENSMUSG00000000093	Tbx2	protein_coding	3626	1
ENSMUSG00000000094	Tbx4	protein_coding	9123	5
ENSMUSG00000000103	Zfy2	protein_coding	2816	NA
ENSMUSG00000000120	Ngfr	protein_coding	3446	2
ENSMUSG00000000125	Wnt3	protein_coding	3076	1
ENSMUSG00000000126	Wnt9a	protein_coding	6638	NA
ENSMUSG00000000127	Fer	protein_coding	5373	3
ENSMUSG00000000131	Xpo6	protein_coding	31920	2
ENSMUSG00000000134	Tfe3	protein_coding	37886	3
ENSMUSG00000000142	Axin2	protein_coding	11902	7
ENSMUSG00000000148	Brat1	protein_coding	19005	1
ENSMUSG00000000149	Gna12	protein_coding	3416	5
ENSMUSG00000000154	Slc22a18	protein_coding	6541	NA
ENSMUSG00000000157	Itgb2l	protein_coding	8628	NA
ENSMUSG00000000159	Igsf5	protein_coding	6814	5
ENSMUSG00000000167	Pih1d2	protein_coding	7139	2
ENSMUSG00000000168	Dlat	protein_coding	7053	3
ENSMUSG00000000171	Sdhd	protein_coding	1287	4
ENSMUSG00000000182	Fgf23	protein_coding	1814	NA
ENSMUSG00000000183	Fgf6	protein_coding	1232	NA
ENSMUSG00000000184	Ccnd2	protein_coding	5701	5
ENSMUSG00000000194	Gpr107	protein_coding	14141	3
ENSMUSG00000000197	Nalcn	protein_coding	7115	6
ENSMUSG00000000202	Btbd17	protein_coding	9967	1
ENSMUSG00000000204	Slfn4	protein_coding	7666	NA
ENSMUSG00000000214	Th	protein_coding	7590	NA
ENSMUSG00000000215	Ins2	protein_coding	3576	NA
ENSMUSG00000000216	Scnn1g	protein_coding	2991	NA
ENSMUSG00000000223	Drp2	protein_coding	23734	2
ENSMUSG00000000244	Tspan32	protein_coding	13040	6
ENSMUSG00000000247	Lhx2	protein_coding	8101	1
ENSMUSG00000000248	Clec2g	protein_coding	5964	NA
ENSMUSG00000000253	Gmpr	protein_coding	2782	5
ENSMUSG00000000263	Glra1	protein_coding	6224	7
ENSMUSG00000000266	Mid2	protein_coding	17538	5
ENSMUSG00000000275	Trim25	protein_coding	12589	5
ENSMUSG00000000276	Dgke	protein_coding	17117	7
ENSMUSG00000000278	Scpep1	protein_coding	2097	3
ENSMUSG00000000282	Mnt	protein_coding	5989	1
ENSMUSG00000000290	Itgb2	protein_coding	8994	5
ENSMUSG00000000295	Hddc2	protein_coding	6031	4
ENSMUSG00000000296	Tpd52l1	protein_coding	1267	4
ENSMUSG00000000301	Pemt	protein_coding	6013	3
ENSMUSG00000000303	Cdh1	protein_coding	8422	1
ENSMUSG00000000305	Cdh4	protein_coding	9149	1
ENSMUSG00000000308	Ckmt1	protein_coding	8979	7
ENSMUSG00000000317	Bcl6b	protein_coding	4402	4
ENSMUSG00000000318	Clec10a	protein_coding	8841	NA
ENSMUSG00000000320	Alox12	protein_coding	5315	5
ENSMUSG00000000325	Arvcf	protein_coding	27601	1
ENSMUSG00000000326	Comt	protein_coding	5685	5
ENSMUSG00000000339	Rtca	protein_coding	4548	3
ENSMUSG00000000340	Dbt	protein_coding	3296	3
ENSMUSG00000000346	Dazap2	protein_coding	1826	5
ENSMUSG00000000355	Mcts1	protein_coding	2913	1
ENSMUSG00000000359	Rem1	protein_coding	3446	NA
ENSMUSG00000000365	Rnf17	protein_coding	5148	NA
ENSMUSG00000000374	Trappc10	protein_coding	5048	2
ENSMUSG00000000378	Ccm2	protein_coding	9115	3
ENSMUSG00000000381	Wap	protein_coding	1978	NA
ENSMUSG00000000384	Tbrg4	protein_coding	11793	1
ENSMUSG00000000385	Tmprss2	protein_coding	3159	NA
ENSMUSG00000000386	Mx1	protein_coding	14627	7
ENSMUSG00000000392	Fap	protein_coding	16869	NA
ENSMUSG00000000394	Gcg	protein_coding	2509	NA
ENSMUSG00000000399	Ndufa9	protein_coding	1322	5
ENSMUSG00000000402	Egfl6	protein_coding	2704	NA
ENSMUSG00000000409	Lck	protein_coding	9143	NA
ENSMUSG00000000411	Tssk3	protein_coding	1280	7
ENSMUSG00000000416	Cttnbp2	protein_coding	26746	2
ENSMUSG00000000420	Galnt1	protein_coding	15875	5
ENSMUSG00000000435	Myf5	protein_coding	2083	NA
ENSMUSG00000000439	Mkrn2	protein_coding	2240	3
ENSMUSG00000000440	Pparg	protein_coding	3626	NA
ENSMUSG00000000441	Raf1	protein_coding	13480	1
ENSMUSG00000000486	Sept1	protein_coding	8816	NA
ENSMUSG00000000489	Pdgfb	protein_coding	2918	5
ENSMUSG00000000530	Acvrl1	protein_coding	16658	6
ENSMUSG00000000531	Grasp	protein_coding	2013	6
ENSMUSG00000000532	Acvr1b	protein_coding	4375	2
ENSMUSG00000000538	Tom1l2	protein_coding	33268	6
ENSMUSG00000000544	Gpa33	protein_coding	6028	NA
ENSMUSG00000000552	Zfp385a	protein_coding	2291	7
ENSMUSG00000000555	Itga5	protein_coding	4379	5
ENSMUSG00000000560	Gabra2	protein_coding	2392	2
ENSMUSG00000000561	Wdr77	protein_coding	14710	1
ENSMUSG00000000562	Adora3	protein_coding	3589	5
ENSMUSG00000000563	Atp5f1	protein_coding	6315	4
ENSMUSG00000000567	Sox9	protein_coding	4135	1
ENSMUSG00000000568	Hnrnpd	protein_coding	15063	3
ENSMUSG00000000579	Dynlt1c	protein_coding	7007	2
ENSMUSG00000000581	C1d	protein_coding	5049	4
ENSMUSG00000000594	Gm2a	protein_coding	4127	5
ENSMUSG00000000600	Krit1	protein_coding	12139	2
ENSMUSG00000000605	Clcn4-2	protein_coding	4578	NA
ENSMUSG00000000606	Vmn2r88	protein_coding	8254	NA
ENSMUSG00000000617	Grm6	protein_coding	13389	7
ENSMUSG00000000627	Sema4f	protein_coding	7185	2
ENSMUSG00000000628	Hk2	protein_coding	9404	7
ENSMUSG00000000631	Myo18a	protein_coding	102027	3
ENSMUSG00000000632	Sez6	protein_coding	23717	1
ENSMUSG00000000673	Haao	protein_coding	1222	6
ENSMUSG00000000682	Cd52	protein_coding	1400	3
ENSMUSG00000000686	Abhd15	protein_coding	3695	5
ENSMUSG00000000690	Hoxb6	protein_coding	3499	NA
ENSMUSG00000000693	Loxl3	protein_coding	8423	1
ENSMUSG00000000701	Tcl1b5	protein_coding	1039	NA
ENSMUSG00000000706	Btn1a1	protein_coding	4500	NA
ENSMUSG00000000708	Kat2b	protein_coding	7394	3
ENSMUSG00000000711	Rab5b	protein_coding	3166	5
ENSMUSG00000000724	Cryba1	protein_coding	2155	NA
